"Player","Team","POS","Season","GP","G","A","P","SOG","TOI","PIM"
"Nikita Kucherov https://data.benchwarmers.app/_Players/8476453-headshot.webp","TBL https://data.benchwarmers.app/NHL_Logos/_dark/TBL.svg","R","20242025","78","37","84","121","265","1271.3718","45"
"Nathan MacKinnon https://data.benchwarmers.app/_Players/8477492-headshot.webp","COL https://data.benchwarmers.app/NHL_Logos/_dark/COL.svg","C","20242025","79","32","84","116","320","1366.9494","41"
"Leon Draisaitl https://data.benchwarmers.app/_Players/8477934-headshot.webp","EDM https://data.benchwarmers.app/NHL_Logos/_dark/EDM.svg","C","20242025","71","52","54","106","240","1291.0423","34"
"David Pastrnak https://data.benchwarmers.app/_Players/8477956-headshot.webp","BOS https://data.benchwarmers.app/NHL_Logos/_dark/BOS.svg","R","20242025","82","43","63","106","319","1211.1707","42"
"Mitch Marner https://data.benchwarmers.app/_Players/8478483-headshot.webp","TOR https://data.benchwarmers.app/NHL_Logos/_dark/TOR.svg","R","20242025","81","27","75","102","173","1278.9259","14"
"Connor McDavid https://data.benchwarmers.app/_Players/8478402-headshot.webp","EDM https://data.benchwarmers.app/NHL_Logos/_dark/EDM.svg","C","20242025","67","26","74","100","196","1321.8806","37"
"Kyle Connor https://data.benchwarmers.app/_Players/8478398-headshot.webp","WPG https://data.benchwarmers.app/NHL_Logos/_dark/WPG.svg","L","20242025","82","41","56","97","267","1223.6829","25"
"Jack Eichel https://data.benchwarmers.app/_Players/8478403-headshot.webp","VGK https://data.benchwarmers.app/NHL_Logos/_dark/VGK.svg","C","20242025","77","28","66","94","233","1232.013","8"
"Cale Makar https://data.benchwarmers.app/_Players/8480069-headshot.webp","COL https://data.benchwarmers.app/NHL_Logos/_dark/COL.svg","D","20242025","80","30","62","92","246","1542.975","14"
"Sidney Crosby https://data.benchwarmers.app/_Players/8471675-headshot.webp","PIT https://data.benchwarmers.app/NHL_Logos/_dark/PIT.svg","C","20242025","80","33","58","91","227","1222.475","31"
"Clayton Keller https://data.benchwarmers.app/_Players/8479343-headshot.webp","UTA https://data.benchwarmers.app/NHL_Logos/_dark/UTA.svg","R","20242025","81","30","60","90","218","1147.0864","28"
"Brandon Hagel https://data.benchwarmers.app/_Players/8479542-headshot.webp","TBL https://data.benchwarmers.app/NHL_Logos/_dark/TBL.svg","L","20242025","82","35","55","90","228","1244.5976","58"
"Artemi Panarin https://data.benchwarmers.app/_Players/8478550-headshot.webp","NYR https://data.benchwarmers.app/NHL_Logos/_dark/NYR.svg","L","20242025","80","37","52","89","237","1180.9875","16"
"Nick Suzuki https://data.benchwarmers.app/_Players/8480018-headshot.webp","MTL https://data.benchwarmers.app/NHL_Logos/_dark/MTL.svg","C","20242025","82","30","59","89","172","1203.6341","8"
"Mikko Rantanen https://data.benchwarmers.app/_Players/8478420-headshot.webp","DAL https://data.benchwarmers.app/NHL_Logos/_dark/DAL.svg","R","20242025","82","32","56","88","212","1274.9512","60"
"Jesper Bratt https://data.benchwarmers.app/_Players/8479407-headshot.webp","NJD https://data.benchwarmers.app/NHL_Logos/_dark/NJD.svg","L","20242025","81","21","67","88","180","1136.8889","18"
"Mark Scheifele https://data.benchwarmers.app/_Players/8476460-headshot.webp","WPG https://data.benchwarmers.app/NHL_Logos/_dark/WPG.svg","C","20242025","82","39","48","87","181","1226.3902","61"
"William Nylander https://data.benchwarmers.app/_Players/8477939-headshot.webp","TOR https://data.benchwarmers.app/NHL_Logos/_dark/TOR.svg","R","20242025","82","45","39","84","253","1170.5732","26"
"Martin Necas https://data.benchwarmers.app/_Players/8480039-headshot.webp","COL https://data.benchwarmers.app/NHL_Logos/_dark/COL.svg","C","20242025","79","27","56","83","194","1139.9114","16"
"Dylan Strome https://data.benchwarmers.app/_Players/8478440-headshot.webp","WSH https://data.benchwarmers.app/NHL_Logos/_dark/WSH.svg","C","20242025","82","29","53","82","149","1043.0244","34"
"Brayden Point https://data.benchwarmers.app/_Players/8478010-headshot.webp","TBL https://data.benchwarmers.app/NHL_Logos/_dark/TBL.svg","C","20242025","77","42","40","82","189","1168.7532","7"
"Zach Werenski https://data.benchwarmers.app/_Players/8478460-headshot.webp","CBJ https://data.benchwarmers.app/NHL_Logos/_dark/CBJ.svg","D","20242025","81","23","59","82","298","1604.716","31"
"Matt Duchene https://data.benchwarmers.app/_Players/8475168-headshot.webp","DAL https://data.benchwarmers.app/NHL_Logos/_dark/DAL.svg","C","20242025","82","30","52","82","152","1028.5732","12"
"Robert Thomas https://data.benchwarmers.app/_Players/8480023-headshot.webp","STL https://data.benchwarmers.app/NHL_Logos/_dark/STL.svg","C","20242025","70","21","60","81","145","1197.4857","20"
"Sam Reinhart https://data.benchwarmers.app/_Players/8477933-headshot.webp","FLA https://data.benchwarmers.app/NHL_Logos/_dark/FLA.svg","C","20242025","79","39","42","81","213","1230.1392","27"